msa,howner_q1,howner_q1_moe,howner_q2,howner_q2_moe,howner_q3,howner_q3_moe,howner_q4,howner_q4_moe,year
"Akron, OH ",63.2,8.3,74.8,7.9,67.8,8.3,71,8,2014
"Albany-Schenectady-Troy, NY ",64.9,7.4,65.8,7.5,68.1,7.2,71.7,7.5,2014
"Alburquerque, NM",63.5,5.1,62.1,5.1,64.3,5.2,68.3,5.3,2014
"Allentown-Bethlehem-Easton, PA-NJ",70.7,7.1,64.3,8.1,70.3,7.8,67,7.5,2014
"Atlanta-Sandy Springs-Marietta, GA\1",60.3,3.3,60,3.3,63.3,3.3,62.9,3.2,2014
"Austin-Round Rock, TX\2",58.4,5.7,58.6,5.9,65.2,5.8,62.3,5.8,2014
"Bakersfield, CA",51.8,9.5,56.7,9.2,48.1,8.9,54.6,9.1,2014
"Baltimore-Towson, MD\3",65.8,3.6,62.2,3.6,64.1,3.6,64.5,3.5,2014
"Baton Rouge, LA",69.7,8.6,62.6,8.5,62.5,8.1,65,8.7,2014
"Birmingham-Hoover, AL\4",72,6.7,73.6,6.4,77.4,6.1,63.9,7.4,2014
"Boston-Cambridge-Quincy, MA-NH\5",61.8,3.5,62.4,3.5,64.2,3.4,63,3.4,2014
"Bridgeport-Stamford-Norwalk, CT",70.5,4.7,71.5,4.6,66.3,4.7,62.4,5,2014
"Buffalo-Cheektowaga-Tonawanda, NY\6",64.5,6.9,69.2,6.7,62.4,6.8,60.7,6.8,2014
"Charlotte-Gastonia-Concord, NC-SC\7",58.9,5.9,59.5,6,55.4,5.9,58.7,6,2014
"Chicago-Naperville-Joliet, IL\8",67.8,2.4,66.3,2.4,67,2.4,64.1,2.4,2014
"Cincinnati-Middletown, OH-KY-IN\9",64,5,68.7,4.9,65.1,5,64.5,5,2014
"Cleveland-Elyria-Mentor, OH\10",68.7,4.8,67,4.8,71.1,4.8,70.2,4.7,2014
"Columbia, SC",70.1,7.2,74,6.9,69.6,7.2,64,7.6,2014
"Columbus, OH",63.8,5.5,58.5,5.6,56.1,5.8,61.5,5.4,2014
"Dallas-Ft Worth-Arlington, TX\11",58.9,3.1,56.6,3.1,59.1,3.1,56.3,3.1,2014
"Dayton, OH",66.9,7.8,62.6,8.2,63.6,8,66.7,7.7,2014
"Denver-Aurora, CO\12",63.6,3.5,60.7,3.6,62.1,3.5,61.3,3.4,2014
"Detroit-Warren-Livonia, MI\13",71.1,3.3,72.4,3.3,70.7,3.4,70.9,3.3,2014
"El Paso, TX",69.6,8.5,66.8,8.9,64.2,9.2,66.2,9.3,2014
"Fresno, CA",55.5,8.5,53.7,8.2,54.5,8.1,51.9,8.8,2014
"Grand Rapids-Wyoming, MI\14",71.2,7.8,79.7,6.6,73.1,7.4,60,9.1,2014
"Greensboro-High Point, NC\15",69.4,8.3,67.7,8.5,67.3,8.9,67.9,8.8,2014
"Hartford-West Hartford-East Hartford, CT\16",69.9,4.1,68.4,4,67.1,4,68.6,3.9,2014
"Honolulu, HI",56.6,3.8,55.7,3.9,58.8,3.8,61.7,3.8,2014
"Houston-Baytown-Sugar Land, TX\17",60.2,3.3,58.5,3.3,60.5,3.2,62.3,3.2,2014
"Indianapolis, IN",67.4,5.3,68.2,5.4,61.8,5.5,70,5.1,2014
"Jacksonville, FL",70,5.9,64.3,6.2,63.3,6.4,63.6,6.4,2014
"Kansas City, MO-KS",65.6,3.5,64.3,3.7,62.7,3.6,71.3,3.2,2014
"Las Vegas-Paradise, NV\18",50.6,3.4,55.1,3.4,54.4,3.4,53,3.4,2014
"Los Angeles-Long Beach-Santa Ana, CA \19",50.1,2.2,49.1,2.2,49.3,2.2,47.6,2.2,2014
"Louisville, KY-IN",62.4,6.7,70.3,6.5,76.4,6.2,67.4,5.9,2014
"Memphis, TN-AR-MS",51.6,5.4,56.1,5.2,62.4,5.4,59.2,5.4,2014
