state,howner_q1,howner_q1_moe,howner_q2,howner_q2_moe,howner_q3,howner_q3_moe,howner_q4,howner_q4_moe,year
Alabama,74.2,3.2,73.6,3.2,73.5,3.2,67.2,3.4,2014
Alaska,64.4,3.2,66.7,3.2,65.1,3.2,63.5,3.2,2014
Arizona,64.8,3,64.2,3.1,63.2,3.1,61.8,3.1,2014
Arkansas,62.8,3.5,66.2,3.4,65.2,3.5,67.6,3.4,2014
California,54.5,1.3,54.9,1.3,54.3,1.3,53.2,1.3,2014
Colorado,65.1,2.5,64.7,2.5,65.4,2.5,64.8,2.4,2014
Connecticut,69.1,2.3,68.5,2.3,65.4,2.4,66.5,2.3,2014
Delaware,74.5,2.7,75.6,2.6,72.8,2.7,74.3,2.6,2014
District of Columbia,41.3,2.7,41.1,2.7,42.5,2.7,41.2,2.6,2014
Florida,66.9,1.7,65.3,1.7,62.4,1.7,64.8,1.7,2014
Georgia,62.9,2.4,62.3,2.4,64,2.4,62.6,2.4,2014
Hawaii,56.5,3.2,56.6,3.3,59.1,3.2,61.6,3.2,2014
Idaho,67.9,3.5,68.2,3.5,72.3,3.4,69.8,3.3,2014
Illinois,67.3,2,66.4,2,67.2,2,64.8,2.1,2014
Indiana,70.6,2.8,71.9,2.7,68.9,2.8,69,2.8,2014
Iowa,68.6,2.5,69.2,2.5,70.7,2.4,69.2,2.5,2014
Kansas,63,3,61.3,3,65.5,3,69,2.9,2014
Kentucky,65.2,3,68.9,3,70.4,2.9,66,3,2014
Louisiana,67.6,3.6,64.7,3.6,64,3.6,64.9,3.6,2014
Maine,71,2.6,70.2,2.7,72.1,2.6,70.8,2.6,2014
Maryland,67.2,2.4,66,2.4,66.7,2.4,65,2.4,2014
Massachusetts,62.2,3,62.4,2.9,64.7,2.9,62.7,2.9,2014
Michigan,73,2.1,75.9,2.1,74.2,2.1,72.4,2.2,2014
Minnesota,73.3,2.2,72.3,2.2,70,2.2,70.1,2.2,2014
Mississippi,74.1,3.5,73,3.6,72.4,3.6,73.4,3.6,2014
Missouri,70.2,2.6,70.6,2.6,68.4,2.6,72.9,2.5,2014
Montana,68,3.4,68,3.4,65.3,3.4,66.2,3.4,2014
Nebraska,68.1,2.8,68.2,2.8,66.6,2.8,64.1,2.8,2014
Nevada,53.8,2.9,56.4,2.8,56.7,2.8,56.8,2.8,2014
New Hampshire,73.7,2.4,73.2,2.4,70.3,2.4,71.6,2.4,2014
New Jersey,65.2,2.5,65,2.5,66.4,2.5,64,2.5,2014
New Mexico,66.6,3.6,63.9,3.6,65.2,3.6,69.6,3.5,2014
New York,51.9,1.8,53.2,1.8,53.5,1.8,53.1,1.8,2014
North Carolina,66.7,2.5,67.4,2.5,65.4,2.5,66.2,2.5,2014
North Dakota,64.7,3.2,64.4,3.2,67.9,3.1,61.4,3.2,2014
