state,rent_q1,rent_q1_moe,rent_q2,rent_q2_moe,rent_q3,rent_q3_moe,rent_q4,rent_q4_moe,year
Alabama,16.1,4.1,16.8,4,11.6,3.5,11.7,3.2,2014
Alaska,7.4,2.4,7.6,2.5,5.4,2.1,7,2.3,2014
Arizona,10,2.5,7.7,2.3,10.1,2.5,9.9,2.4,2014
Arkansas,12.6,3.1,15.1,3.4,16.3,3.5,14.9,3.5,2014
California,5.2,0.7,5.2,0.7,4.1,0.6,3.4,0.6,2014
Colorado,6.1,1.7,4.9,1.5,4.3,1.5,4.3,1.4,2014
Connecticut,8,2,4.9,1.6,4.8,1.5,5.8,1.6,2014
Delaware,7.4,2.6,8.3,2.7,7.5,2.5,6.5,2.3,2014
District of Columbia,6.8,1.5,6.6,1.4,6.3,1.4,6.2,1.4,2014
Florida,9.9,1.5,10,1.5,10,1.4,10.4,1.5,2014
Georgia,11.2,2,9.7,1.9,9.9,2,8,1.8,2014
Hawaii,5.6,1.8,8.2,2.2,9.6,2.4,10,2.5,2014
Idaho,4,2.1,7.6,2.8,7.4,3,5.7,2.5,2014
Illinois,12.3,1.9,7.6,1.6,9.1,1.7,7.9,1.6,2014
Indiana,8.7,2.5,11.9,2.9,12.1,2.7,10.5,2.6,2014
Iowa,6.4,1.9,5.6,1.8,5.8,1.9,4.9,1.7,2014
Kansas,8.7,2.3,6.7,2,9.5,2.5,10.6,2.7,2014
Kentucky,7.1,2.2,5.2,2.1,6.3,2.3,7.2,2.2,2014
Louisiana,6.7,2.7,8.3,2.8,8.3,2.7,10.1,3,2014
Maine,4.4,1.8,5.7,2,5.6,2.1,4.8,1.9,2014
Maryland,8.3,1.9,6.7,1.7,8.1,1.9,7.2,1.7,2014
Massachusetts,7.5,2.1,5.2,1.8,4.2,1.7,5.5,1.8,2014
Michigan,8.7,2.1,7.6,2.1,9.3,2.2,7,1.9,2014
Minnesota,7.2,2,6.1,1.8,5.5,1.6,3.9,1.4,2014
Mississippi,13.9,4.3,10.3,3.7,9.4,3.6,10.7,3.8,2014
Missouri,9.8,2.5,9.4,2.4,10.1,2.4,10.3,2.6,2014
Montana,4,2.1,3.9,2,3.7,1.9,4.2,2,2014
Nebraska,6.1,2,4.3,1.7,5.2,1.9,6.5,2,2014
Nevada,10.7,2.1,10.3,2.1,9.3,2,8.3,1.9,2014
New Hampshire,6.5,2.1,5.1,1.8,4.7,1.7,6.3,2,2014
New Jersey,7,1.9,5.2,1.6,6.7,1.8,6,1.7,2014
New Mexico,13.2,3.5,8.2,2.7,10.5,3.1,11.4,3.5,2014
New York,5.9,1,5.1,0.9,3.8,0.8,4.7,0.9,2014
North Carolina,9.6,2.1,6.7,1.9,7.3,1.8,8.7,2,2014
North Dakota,7.8,2.4,9,2.5,8.9,2.7,8.7,2.4,2014
Ohio,6.9,1.6,7.7,1.7,8.2,1.7,6.6,1.5,2014
Oklahoma,12.8,3.4,12.2,3.2,11.5,3,8.9,2.9,2014
Oregon,3.6,1.6,3.4,1.5,5.9,2,3.6,1.6,2014
Pennsylvania,9.7,1.9,7.9,1.7,8.3,1.7,8.7,1.8,2014
Rhode Island,6.2,1.9,8.5,2,5.9,1.8,6.2,1.8,2014
South Carolina,11.7,3.2,13.9,3.6,11.9,3.2,10.7,2.9,2014
South Dakota,7.9,2.3,8.7,2.4,7.3,2.3,9.2,2.4,2014
Tennessee,8.1,2.3,8,2.4,10.1,2.6,7.7,2.4,2014
Texas,10.8,1.3,9.8,1.2,8.8,1.2,8.3,1.2,2014
Utah,13.9,3.5,7.2,2.6,8,2.7,5.2,2.3,2014
Vermont,5.4,2.3,5.8,2.4,5.8,2.5,3,1.8,2014
Virginia,9.6,2.2,7.8,1.9,6,1.7,6.3,1.8,2014
